tienda,sucursal,sku,nombre,categoria_url,en_stock,precio_bulto_cerrado,precio_bulto_cerrado_lista,precio_unitario,presentaciones,url_producto,fecha_scrape
maxiconsumo,sucursal_trelew,17682,LECHE SANCOR BEBE ADVANCE 3 1 LT,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,8699.9,,8699.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/leche-sancor-bebe-advance-3-1-lt-17682.html,2026-08-15T15:22:41.445229
maxiconsumo,sucursal_trelew,25376,LECHE NIDO 3 200 ml,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,1099.89,,1099.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/leche-nido-3-200-ml-25376.html,2026-08-15T15:22:41.445513
maxiconsumo,sucursal_trelew,25938,LECHE NESTLE NIDINA 1 200 ml,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,1499.89,,1499.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/leche-nestle-nidina-1-200-ml-25938.html,2026-08-15T15:22:41.445807
maxiconsumo,sucursal_trelew,25939,LECHE NESTLE NIDINA 2 200 ml,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,1499.89,,1499.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/leche-nestle-nidina-2-200-ml-25939.html,2026-08-15T15:22:41.446117
maxiconsumo,sucursal_trelew,27510,LECHE SANCOR BEBE ADVANCE 1 200 ML,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,2199.89,,2199.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/leche-sancor-bebe-advance-1-200-ml-27510.html,2026-08-15T15:22:41.446414
maxiconsumo,sucursal_trelew,27511,LECHE SANCOR BB ADVANCE 2 200 ml,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,2199.89,,2199.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/leche-sancor-bb-advance-2-200-ml-27511.html,2026-08-15T15:22:41.446704
maxiconsumo,sucursal_trelew,27512,LECHE SANCOR BB ADVANCE 3 200 ML,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,2199.89,,2199.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/leche-sancor-bb-advance-3-200-ml-27512.html,2026-08-15T15:22:41.446988
maxiconsumo,sucursal_trelew,22625,LECHE SANCOR BEBE ADVANCE 2 500 ML,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,4799.9,,4799.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/leche-sancor-bebe-advance-2-500-ml-22625.html,2026-08-15T15:22:41.447266
maxiconsumo,sucursal_trelew,29031,LEVADURA LEVEX CENTENO 10 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,649.89,,649.89,,https://www.maxiconsumo.com/sucursal_trelew/frescos/levadura-levex-centeno-10-gr-29031.html,2026-08-15T15:22:41.447544
maxiconsumo,sucursal_trelew,27157,LEVADURA LEVEX MASA MADRE 13 GR,https://www.maxiconsumo.com/sucursal_trelew/frescos.html,True,649.9,,649.9,,https://www.maxiconsumo.com/sucursal_trelew/frescos/levadura-levex-masa-madre-13-gr-27157.html,2026-08-15T15:22:41.447819
